y1,x1_COBYQA,x1_LINCOA,x1_COBYLA,y2,x2_COBYQA,x2_LINCOA,x2_COBYLA,y3,x3_COBYQA,x3_LINCOA,x3_COBYLA,y4,x4_COBYQA,x4_LINCOA,x4_COBYLA,y5,x5_COBYQA,x5_LINCOA,x5_COBYLA,y6,x6_COBYQA,x6_LINCOA,x6_COBYLA,y7,x7_COBYQA,x7_LINCOA,x7_COBYLA,y8,x8_COBYQA,x8_LINCOA,x8_COBYLA,y9,x9_COBYQA,x9_LINCOA,x9_COBYLA
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.375,0.375,0.375,0.0,0.375,0.375,0.375,0.0,0.375,0.375,0.375,0.0,0.375,0.375,0.375,0.0,0.375,0.375,0.375,0.0,0.375,0.375,0.375,0.0,0.375,0.375,0.375,0.0,0.375,0.375,0.375,0.0,0.375,0.375,0.375
0.03125,0.375,0.375,0.375,0.03125,0.375,0.375,0.375,0.03125,0.375,0.375,0.375,0.03125,0.375,0.375,0.375,0.03125,0.375,0.375,0.375,0.03125,0.375,0.375,0.375,0.03125,0.375,0.375,0.375,0.03125,0.375,0.375,0.375,0.03125,0.375,0.375,0.375
0.03125,0.6666666666666666,0.6666666666666666,0.5,0.03125,1.0,0.6666666666666666,0.6666666666666666,0.03125,1.0,0.6666666666666666,0.6666666666666666,0.03125,1.0,0.6666666666666666,0.6666666666666666,0.03125,1.0,0.6666666666666666,0.6666666666666666,0.03125,1.0,0.6666666666666666,0.6666666666666666,0.03125,1.0,0.6666666666666666,0.6666666666666666,0.03125,1.0,0.6666666666666666,0.6666666666666666,0.03125,1.0,0.6666666666666666,0.6666666666666666
0.0625,0.6666666666666666,0.6666666666666666,0.5,0.0625,1.0,0.6666666666666666,0.6666666666666666,0.0625,1.0,0.6666666666666666,0.6666666666666666,0.0625,1.0,0.6666666666666666,0.6666666666666666,0.0625,1.0,0.6666666666666666,0.6666666666666666,0.0625,1.0,0.6666666666666666,0.6666666666666666,0.0625,1.0,0.6666666666666666,0.6666666666666666,0.0625,1.0,0.6666666666666666,0.6666666666666666,0.0625,1.0,0.6666666666666666,0.6666666666666666
0.0625,1.0,1.0,0.5,0.0625,2.0,1.0,1.0,0.0625,2.0,1.0,1.0,0.0625,2.0,1.0,1.0,0.0625,2.0,1.0,1.0,0.0625,2.0,1.0,1.0,0.0625,2.0,1.0,1.0,0.0625,2.0,1.0,1.0,0.0625,2.0,1.0,1.0
0.09375,1.0,1.0,0.5,0.09375,2.0,1.0,1.0,0.09375,2.0,1.0,1.0,0.09375,2.0,1.0,1.0,0.09375,2.0,1.0,1.0,0.09375,2.0,1.0,1.0,0.09375,2.0,1.0,1.0,0.09375,2.0,1.0,1.0,0.09375,2.0,1.0,1.0
0.09375,2.0,2.2,0.6666666666666666,0.09375,2.2222222222222223,2.4,1.3333333333333333,0.09375,2.2222222222222223,2.6,1.3333333333333333,0.09375,2.6666666666666665,3.0,1.3333333333333333,0.09375,2.6666666666666665,3.0,1.75,0.09375,2.6666666666666665,3.0,1.75,0.09375,2.6666666666666665,3.0,1.75,0.09375,2.6666666666666665,3.0,1.75,0.09375,2.6666666666666665,3.0,1.75
0.125,2.0,2.2,0.6666666666666666,0.125,2.2222222222222223,2.4,1.3333333333333333,0.125,2.2222222222222223,2.6,1.3333333333333333,0.125,2.6666666666666665,3.0,1.3333333333333333,0.125,2.6666666666666665,3.0,1.75,0.125,2.6666666666666665,3.0,1.75,0.125,2.6666666666666665,3.0,1.75,0.125,2.6666666666666665,3.0,1.75,0.125,2.6666666666666665,3.0,1.75
0.125,2.0,2.3333333333333335,1.0,0.125,2.3333333333333335,2.4,1.6,0.125,2.6666666666666665,3.0,1.75,0.125,2.7,3.2,1.75,0.125,2.7,3.2,2.0,0.125,2.7,3.2,2.0,0.125,3.0,3.2,2.0,0.125,3.0,3.2,2.0,0.125,3.0,3.2,2.0
